READING_TIME,READING_VALUE,weekday,hour,minute
2013-07-10 16:33:28,2.614,2,16,33
2013-07-10 17:03:39,2.614,2,17,3
2013-07-10 17:33:54,2.614,2,17,33
2013-07-10 18:04:09,2.614,2,18,4
2013-07-10 18:34:24,2.614,2,18,34
2013-07-10 19:04:38,2.614,2,19,4
2013-07-10 19:34:54,2.614,2,19,34
2013-07-10 20:05:09,2.614,2,20,5
2013-07-10 20:35:24,2.614,2,20,35
2013-07-10 21:05:39,2.614,2,21,5
2013-07-10 21:35:53,3.208,2,21,35
2013-07-10 22:06:08,5.0969999999999995,2,22,6
2013-07-10 22:36:24,6.375,2,22,36
2013-07-10 23:06:39,6.375,2,23,6
2013-07-10 23:36:53,6.375,2,23,36
2013-07-11 00:07:08,6.375,3,0,7
2013-07-11 00:37:23,6.375,3,0,37
2013-07-11 01:07:38,6.375,3,1,7
2013-07-11 01:37:53,6.375,3,1,37
2013-07-11 02:08:08,6.375,3,2,8
2013-07-11 02:38:23,6.375,3,2,38
2013-07-11 03:08:37,6.375,3,3,8
2013-07-11 03:38:52,6.375,3,3,38
2013-07-11 04:09:07,6.375,3,4,9
2013-07-11 04:39:22,6.375,3,4,39
2013-07-11 05:09:37,6.375,3,5,9
2013-07-11 05:39:52,6.375,3,5,39
2013-07-11 06:10:06,6.375,3,6,10
2013-07-11 06:40:21,6.375,3,6,40
2013-07-11 07:10:37,6.375,3,7,10
2013-07-11 07:40:53,6.375,3,7,40
2013-07-11 08:11:09,6.375,3,8,11
2013-07-11 08:41:25,6.375,3,8,41
2013-07-11 10:11:51,6.375,3,10,11
2013-07-11 10:42:03,6.375,3,10,42
2013-07-11 11:12:19,6.375,3,11,12
2013-07-11 11:42:35,6.375,3,11,42
2013-07-11 12:12:53,6.375,3,12,12
2013-07-11 12:43:10,6.375,3,12,43
2013-07-11 13:13:26,6.375,3,13,13
2013-07-11 13:43:41,6.375,3,13,43
2013-07-11 14:13:57,6.375,3,14,13
2013-07-11 14:44:15,6.375,3,14,44
2013-07-11 15:14:30,6.375,3,15,14
2013-07-11 15:44:46,6.375,3,15,44
2013-07-11 16:15:03,6.375,3,16,15
2013-07-11 16:45:19,6.375,3,16,45
2013-07-11 17:15:35,6.375,3,17,15
2013-07-11 17:45:51,6.375,3,17,45
2013-07-11 18:16:07,6.375,3,18,16
2013-07-11 18:46:26,6.375,3,18,46
2013-07-11 19:16:43,6.375,3,19,16
2013-07-11 19:46:58,6.375,3,19,46
2013-07-11 20:17:13,6.375,3,20,17
2013-07-11 20:47:29,6.375,3,20,47
2013-07-11 21:17:45,6.375,3,21,17
2013-07-11 21:48:01,6.375,3,21,48
2013-07-11 22:18:17,6.375,3,22,18
2013-07-11 22:48:28,7.3629999999999995,3,22,48
2013-07-11 23:18:43,9.238999999999999,3,23,18
2013-07-11 23:49:00,10.115,3,23,49
2013-07-12 00:19:15,10.115,4,0,19
2013-07-12 00:49:32,10.115,4,0,49
2013-07-12 01:19:48,10.115,4,1,19
2013-07-12 01:50:04,10.115,4,1,50
2013-07-12 02:20:20,10.115,4,2,20
2013-07-12 02:50:36,10.115,4,2,50
2013-07-12 03:20:52,10.115,4,3,20
2013-07-12 03:51:08,10.115,4,3,51
2013-07-12 04:21:24,10.115,4,4,21
2013-07-12 04:51:40,10.115,4,4,51
2013-07-12 05:21:55,10.115,4,5,21
2013-07-12 05:52:11,10.115,4,5,52
2013-07-12 06:22:27,10.115,4,6,22
2013-07-12 06:52:44,10.115,4,6,52
2013-07-12 07:22:59,10.115,4,7,22
2013-07-12 07:53:14,10.115,4,7,53
2013-07-12 08:23:30,10.115,4,8,23
2013-07-12 09:00:04,10.115,4,9,0
2013-07-12 09:30:12,10.115,4,9,30
2013-07-12 10:00:26,10.115,4,10,0
2013-07-12 10:31:10,10.115,4,10,31
2013-07-12 11:31:39,10.115,4,11,31
2013-07-12 12:01:54,10.115,4,12,1
2013-07-12 12:32:09,10.115,4,12,32
2013-07-12 13:32:34,10.115,4,13,32
2013-07-12 14:02:49,10.115,4,14,2
2013-07-12 14:33:05,10.115,4,14,33
2013-07-12 15:03:16,10.115,4,15,3
2013-07-12 15:33:31,10.115,4,15,33
2013-07-12 16:03:46,10.115,4,16,3
2013-07-12 16:34:00,10.115,4,16,34
2013-07-12 17:04:15,10.115,4,17,4
2013-07-12 17:34:31,10.115,4,17,34
2013-07-12 18:04:46,10.115,4,18,4
2013-07-12 18:35:01,10.115,4,18,35
2013-07-12 19:05:16,10.115,4,19,5
2013-07-12 19:35:29,10.115,4,19,35
2013-07-12 20:05:44,10.115,4,20,5
2013-07-12 20:35:58,10.115,4,20,35
2013-07-12 21:06:13,10.115,4,21,6
2013-07-12 21:36:29,10.115,4,21,36
2013-07-12 22:06:43,10.115,4,22,6
2013-07-12 22:36:58,10.115,4,22,36
2013-07-12 23:07:14,10.115,4,23,7
2013-07-12 23:37:27,10.115,4,23,37
