Date,Open,High,Low,Close,Adj Close,Volume
2017-01-20,27232.689453,27264.410156,27009.810547,27034.500000,27034.500000,8800
2017-01-23,26990.929688,27167.789063,26963.580078,27117.339844,27117.339844,6600
2017-01-24,27170.880859,27393.349609,27140.849609,27375.580078,27375.580078,6800
2017-01-25,27462.830078,27736.830078,27439.679688,27708.140625,27708.140625,12200
2017-01-27,27761.029297,27980.390625,27759.480469,27882.460938,27882.460938,14300
2017-01-30,27866.800781,27947.369141,27813.320313,27849.560547,27849.560547,8600
2017-01-31,27867.919922,27867.919922,27624.539063,27655.960938,27655.960938,10700
2017-02-01,27669.080078,28159.539063,27590.099609,28141.640625,28141.640625,18200
2017-02-02,28167.830078,28299.919922,28070.810547,28226.609375,28226.609375,17200
2017-02-03,28270.669922,28280.580078,28127.179688,28240.519531,28240.519531,10800
2017-02-06,28340.390625,28487.279297,28340.390625,28439.279297,28439.279297,10000
2017-02-07,28443.230469,28483.410156,28239.119141,28335.160156,28335.160156,10800
2017-02-08,28386.080078,28391.640625,28149.080078,28289.919922,28289.919922,10900
2017-02-09,28349.220703,28469.480469,28152.179688,28329.699219,28329.699219,10200
2017-02-10,28367.169922,28456.179688,28286.800781,28334.250000,28334.250000,13700
2017-02-13,28450.419922,28458.800781,28197.380859,28351.619141,28351.619141,9400
2017-02-14,28386.119141,28393.419922,28263.449219,28339.310547,28339.310547,11700
2017-02-15,28270.109375,28382.320313,28102.230469,28155.560547,28155.560547,17800
2017-02-16,28223.849609,28327.839844,28146.189453,28301.269531,28301.269531,9700
2017-02-17,28670.429688,28726.259766,28410.910156,28468.750000,28468.750000,15000
2017-02-20,28481.910156,28696.529297,28419.269531,28661.580078,28661.580078,8900
2017-02-21,28716.699219,28801.000000,28597.330078,28761.589844,28761.589844,8400
2017-02-22,28822.400391,28963.519531,28789.300781,28864.710938,28864.710938,16300
2017-02-23,28927.669922,29065.310547,28860.460938,28892.970703,28892.970703,18400
2017-02-27,28910.500000,28961.830078,28791.189453,28812.880859,28812.880859,12000
2017-02-28,28825.189453,28876.539063,28721.119141,28743.320313,28743.320313,10700
2017-03-01,28849.039063,29029.169922,28824.169922,28984.490234,28984.490234,14600
2017-03-02,29117.380859,29145.619141,28784.310547,28839.789063,28839.789063,10800
